analysis,variant,season,target_team,target_rule,old,playin,difference,expected_champion_old,expected_champion_playin,field_sum_old,field_sum_playin,beta,h
training window and rating specification,"SRS ratings, 1-season training window",2021,UTAH,this model's strongest team,0.32963603526757473,0.3281450596163005,-0.0014909756512742067,6.221674961410489,6.216718477857573,52.160000000000004,51.472319973217424,0.09791386439298767,0.1875314886342487
training window and rating specification,"SRS ratings, 1-season training window",2022,BOS,this model's strongest team,0.2719295075659498,0.26426594997039843,-0.0076635575955513735,5.743518244762163,5.72125225112646,53.289059897312015,52.63407239690335,0.11535261242074536,0.23867130977764575
training window and rating specification,"SRS ratings, 1-season training window",2023,BOS,this model's strongest team,0.272890523446984,0.27048391583283843,-0.0024066076141455728,4.225025465319307,4.210933497972088,36.989797864464435,38.306444646103984,0.11113392388734289,0.17674080287354063
training window and rating specification,"SRS ratings, 1-season training window",2024,BOS,this model's strongest team,0.562568479393981,0.5685181684715007,0.005949689077519693,8.500447068987633,8.510881284249823,60.64705254588224,59.64007914138933,0.10707414718842598,0.31283629319899947
training window and rating specification,"SRS ratings, 1-season training window",2025,OKC,this model's strongest team,0.5716064335607798,0.592482675712349,0.020876242151569246,10.567981424809584,10.687064587026295,65.52268866602944,64.28163174262791,0.11726928197611478,0.1718646720474552
training window and rating specification,"SRS ratings, 2-season training window",2021,UTAH,this model's strongest team,0.3686344592429393,0.36624214473698485,-0.0023923145059544515,6.459360542280073,6.449187659604523,52.160000000000004,51.67374812722364,0.10818234067291278,0.3178621205145572
training window and rating specification,"SRS ratings, 2-season training window",2022,BOS,this model's strongest team,0.2550039359235556,0.24786809014597158,-0.007135845777583999,5.62032510829957,5.600291905309412,53.289059897312015,52.604307372179726,0.105849173241959,0.21513795883909256
training window and rating specification,"SRS ratings, 2-season training window",2023,BOS,this model's strongest team,0.27809673041835,0.2757667828628215,-0.0023299475555284554,4.255258407401999,4.241470060843909,36.989797864464435,38.29383177437292,0.11304190417458708,0.20467197154700464
training window and rating specification,"SRS ratings, 2-season training window",2024,BOS,this model's strongest team,0.5691445403347771,0.5753489183981549,0.006204378063377813,8.542461617697839,8.553465342329147,60.64705254588224,59.57658984790889,0.10940776324896435,0.24598036978066742
training window and rating specification,"SRS ratings, 2-season training window",2025,OKC,this model's strongest team,0.5625402308398317,0.5828758942103935,0.020335663370561807,10.5065522603309,10.623313762548701,65.52268866602944,64.31718468546144,0.11386048853535373,0.2457387313255598
training window and rating specification,"SRS ratings, 3-season training window",2021,UTAH,this model's strongest team,0.3888833968840647,0.38612359892448,-0.0027597979595846978,6.573678419570365,6.561816496848489,52.160000000000004,51.72011470347235,0.11481986829658332,0.3378049524407281
training window and rating specification,"SRS ratings, 3-season training window",2022,BOS,this model's strongest team,0.26188125561490405,0.25478464187532185,-0.007096613739582203,5.694513501991287,5.673855881666177,53.289059897312015,52.6512611604958,0.11015713326278033,0.2917940451405316
training window and rating specification,"SRS ratings, 3-season training window",2023,BOS,this model's strongest team,0.26715807406329123,0.26478685681504216,-0.002371217248249069,4.191353989264619,4.177919564953632,36.989797864464435,38.29038268953524,0.10765247961534467,0.19999667480768585
training window and rating specification,"SRS ratings, 3-season training window",2024,BOS,this model's strongest team,0.5777229261428682,0.5837762411961143,0.006053315053246022,8.60152164738886,8.611481030444867,60.64705254588224,59.58428924932969,0.11138537378326847,0.24392156856634237
training window and rating specification,"SRS ratings, 3-season training window",2025,OKC,this model's strongest team,0.5567780167077634,0.5775640774459249,0.02078606073816147,10.467250423436589,10.587228451622654,65.52268866602944,64.29603118783103,0.11289078930596157,0.2224923801177229
training window and rating specification,"Bradley-Terry ratings, 1-season training window",2021,UTAH,this model's strongest team,0.21729521608044186,0.21773280144430207,0.0004375853638602101,0.6591972390386682,0.6614410824454376,6.4035236764284305,6.287302953232511,0.8026716245701507,0.184613539635868
training window and rating specification,"Bradley-Terry ratings, 1-season training window",2021,UTAH,baseline SRS strongest team,0.21729521608044186,0.21773280144430207,0.0004375853638602101,0.6591972390386682,0.6614410824454376,6.4035236764284305,6.287302953232511,0.8026716245701507,0.184613539635868
training window and rating specification,"Bradley-Terry ratings, 1-season training window",2022,PHX,this model's strongest team,0.5318480262702346,0.531935945754253,8.791948401831728e-05,0.8441985545273029,0.8454241904737693,6.726550511358202,6.574094687558305,1.0977682664385835,0.2322079876494467
training window and rating specification,"Bradley-Terry ratings, 1-season training window",2022,BOS,baseline SRS strongest team,0.050045878300740844,0.04978085793428064,-0.00026502036646020716,0.8441985545273029,0.8454241904737693,6.726550511358202,6.574094687558305,1.0977682664385835,0.2322079876494467
training window and rating specification,"Bradley-Terry ratings, 1-season training window",2023,MIL,this model's strongest team,0.26571198885836217,0.2613758805122521,-0.00433610834611009,0.6122220918636967,0.612849216591829,5.269409309965805,5.213825977055836,0.9237038594121115,0.17696131971020257
training window and rating specification,"Bradley-Terry ratings, 1-season training window",2023,BOS,baseline SRS strongest team,0.19665334827325884,0.2023568097857273,0.00570346151246845,0.6122220918636967,0.612849216591829,5.269409309965805,5.213825977055836,0.9237038594121115,0.17696131971020257
training window and rating specification,"Bradley-Terry ratings, 1-season training window",2024,BOS,this model's strongest team,0.47173955551527336,0.48010047914372095,0.008360923628447592,0.8866462795044329,0.8921363016597696,7.755476179499615,7.596457927043305,0.912095719189438,0.3086814363208959
training window and rating specification,"Bradley-Terry ratings, 1-season training window",2024,BOS,baseline SRS strongest team,0.47173955551527336,0.48010047914372095,0.008360923628447592,0.8866462795044329,0.8921363016597696,7.755476179499615,7.596457927043305,0.912095719189438,0.3086814363208959
training window and rating specification,"Bradley-Terry ratings, 1-season training window",2025,OKC,this model's strongest team,0.5511876911867137,0.5598779884971374,0.0086902973104237,1.225831139117882,1.2314690135061053,7.754852777682295,7.566141464828487,0.999162251916958,0.16266138320557796
