season,team,conference,position,rating,wins,losses,qualify_old,qualify_playin,title_old,title_playin,title_difference
2021,ATL,Eastern,5,2.141777777777778,41,31,1.0,1.0,0.012423087874923747,0.012540323738274574,0.00011723586335082685
2021,BKN,Eastern,2,4.235111111111114,48,24,1.0,1.0,0.05892450967313334,0.06396714097781937,0.005042631304686032
2021,BOS,Eastern,7,1.3151111111111098,36,36,1.0,0.8808044344569379,0.005225041916215437,0.004721772309252295,-0.0005032696069631427
2021,CHA,Eastern,10,-1.938222222222218,33,39,0.0,0.14148360422502726,0.0,5.574063446987218e-05,5.574063446987218e-05
2021,CHI,Eastern,11,-0.9382222222222228,31,41,0.0,0.0,0.0,0.0,0.0
2021,CLE,Eastern,13,-8.19155555555556,22,50,0.0,0.0,0.0,0.0,0.0
2021,DAL,Western,5,2.2582222222222197,42,30,1.0,1.0,0.00569196401384681,0.005685679294662282,-6.284719184527533e-06
2021,DEN,Western,3,4.818222222222228,47,25,1.0,1.0,0.05795631560961142,0.058375292036645425,0.00041897642703400684
2021,DET,Eastern,15,-4.378222222222221,20,52,0.0,0.0,0.0,0.0,0.0
2021,GS,Western,8,1.0982222222222102,39,33,1.0,0.753998511897614,0.001992707543947497,0.0018914949080006468,-0.00010121263594685035
2021,HOU,Western,15,-7.501777777777766,17,55,0.0,0.0,0.0,0.0,0.0
2021,IND,Eastern,9,-0.1248888888888893,34,38,0.0,0.27591036827998533,0.0,0.0005223094604085638,0.0005223094604085638
2021,LAC,Western,4,6.0182222222222235,47,25,1.0,1.0,0.08576402399371615,0.0858103491393304,4.63251456142566e-05
2021,LAL,Western,7,2.764888888888891,42,30,1.0,0.8715028915856377,0.009967616275297537,0.007982981733106034,-0.0019846345421915025
2021,MEM,Western,9,1.0715555555555523,38,34,0.0,0.2612676179258804,0.0,0.0005112769518706305,0.0005112769518706305
2021,MIA,Eastern,6,-0.058222222222217984,40,32,1.0,1.0,0.0018086058850429476,0.0018535196475964932,4.491376255354564e-05
2021,MIL,Eastern,3,5.568444444444449,46,26,1.0,1.0,0.11645378621596894,0.11725927539518623,0.0008054891792172864
2021,MIN,Western,13,-5.248444444444457,23,49,0.0,0.0,0.0,0.0,0.0
2021,NO,Western,11,-0.19511111111110646,31,41,0.0,0.0,0.0,0.0,0.0
2021,NY,Eastern,4,2.128444444444441,41,31,1.0,1.0,0.013681498608100504,0.013810464100043437,0.00012896549194293255
2021,OKC,Western,14,-10.128444444444446,22,50,0.0,0.0,0.0,0.0,0.0
2021,ORL,Eastern,14,-9.018222222222223,21,51,0.0,0.0,0.0,0.0,0.0
2021,PHI,Eastern,1,5.2751111111111095,49,23,1.0,1.0,0.13849552449972094,0.13131308913938586,-0.007182435360335082
2021,PHX,Western,2,5.671555555555557,51,21,1.0,1.0,0.09684056128004401,0.10171632177224132,0.0048757604921973174
2021,POR,Western,6,1.804888888888889,42,30,1.0,1.0,0.0054600062131797055,0.005538874546089745,7.886833291003911e-05
2021,SA,Western,10,-1.581777777777777,33,39,0.0,0.11323097859086798,0.0,2.0804603336087805e-05,2.0804603336087805e-05
2021,SAC,Western,12,-3.44844444444444,31,41,0.0,0.0,0.0,0.0,0.0
2021,TOR,Eastern,12,-0.5382222222222259,27,45,0.0,0.0,0.0,0.0,0.0
2021,UTAH,Western,1,8.964888888888886,52,20,1.0,1.0,0.3888833968840647,0.38612359892448,-0.0027597979595846978
2021,WSH,Eastern,8,-1.8448888888888848,34,38,1.0,0.7018015930380493,0.00043135351318653243,0.0002996906878008566,-0.00013166282538567582
2022,ATL,Eastern,9,1.5544878647967997,43,39,0.0,0.25776654814084055,0.0,0.0025382342980600947,0.0025382342980600947
2022,BKN,Eastern,7,0.819543106345902,44,38,1.0,0.7989511968815222,0.0051533564871822715,0.004356682713497397,-0.0007966737736848743
2022,BOS,Eastern,2,7.019770907495657,51,31,1.0,1.0,0.26188125561490405,0.25478464187532185,-0.007096613739582203
2022,CHA,Eastern,10,0.5287049479207278,43,39,0.0,0.16098992357656966,0.0,0.0007898235309311598,0.0007898235309311598
2022,CHI,Eastern,6,-0.3745155447213677,46,36,1.0,1.0,0.002554910694626393,0.002561198274963428,6.287580337035158e-06
2022,CLE,Eastern,8,2.0389980383576303,44,38,1.0,0.7822923314010677,0.013291224680656093,0.00965114443743074,-0.0036400802432253535
2022,DAL,Western,4,3.1233133910619975,52,30,1.0,1.0,0.01978036192503424,0.019766849977144552,-1.3511947889687653e-05
2022,DEN,Western,6,2.1551527162509463,48,34,1.0,1.0,0.009635597109107689,0.00979776279570674,0.00016216568659905076
2022,DET,Eastern,14,-7.354831977199095,23,59,0.0,0.0,0.0,0.0,0.0
2022,GS,Western,3,5.518717002769386,53,29,1.0,1.0,0.1034959455196736,0.10430660936682204,0.0008106638471484379
2022,HOU,Western,15,-8.25843248046974,20,62,0.0,0.0,0.0,0.0,0.0
2022,IND,Eastern,13,-3.25605108040859,25,57,0.0,0.0,0.0,0.0,0.0
2022,LAC,Western,8,0.0875232723044102,42,40,1.0,0.7369163544849676,0.0017564207136571907,0.0014494343954566495,-0.0003069863182005412
2022,LAL,Western,11,-3.0819311396220708,33,49,0.0,0.0,0.0,0.0,0.0
2022,MEM,Western,2,5.367569925711708,56,26,1.0,1.0,0.09930748841682038,0.10636536861208101,0.00705788019526063
2022,MIA,Eastern,1,4.234179501579958,53,29,1.0,1.0,0.07549384083471243,0.08019399222548318,0.004700151390770749
2022,MIL,Eastern,3,3.217035484606333,51,31,1.0,1.0,0.0425827582240843,0.042831093095345905,0.00024833487126160736
2022,MIN,Western,7,2.5304669957375783,46,36,1.0,0.8728794132913582,0.011841646921369513,0.009981338039254807,-0.0018603088821147057
2022,NO,Western,9,-0.8363006600641147,36,46,0.0,0.20869988660072772,0.0,0.0001729283221491233,0.0001729283221491233
2022,NY,Eastern,11,-0.00882166798853628,37,45,0.0,0.0,0.0,0.0,0.0
2022,OKC,Western,14,-7.8961725915587655,24,58,0.0,0.0,0.0,0.0,0.0
2022,ORL,Eastern,15,-7.665626706509739,22,60,0.0,0.0,0.0,0.0,0.0
2022,PHI,Eastern,4,2.565630347054981,51,31,1.0,1.0,0.024602561363063085,0.025110109283458054,0.0005075479203949691
2022,PHX,Western,1,6.940583298115171,64,18,1.0,1.0,0.22753239730878919,0.22339395180933241,-0.004138445499456772
2022,POR,Western,13,-8.55208983940802,27,55,0.0,0.0,0.0,0.0,0.0
2022,SA,Western,10,0.023691093601419903,34,48,0.0,0.18150434562294654,0.0,0.00030443991781104493,0.00030443991781104493
2022,SAC,Western,12,-5.259336878011362,30,52,0.0,0.0,0.0,0.0,0.0
2022,TOR,Eastern,5,2.374512227726943,48,34,1.0,1.0,0.019199723829248085,0.019606722530444824,0.00040699870119673826
2022,UTAH,Western,5,5.670579226914773,49,33,1.0,1.0,0.08189051035707161,0.08203767449930507,0.0001471641422334663
2022,WSH,Eastern,12,-3.2263487823909176,35,47,0.0,0.0,0.0,0.0,0.0
2023,ATL,Eastern,8,0.3170922701111472,41,41,1.0,0.7409874817873593,0.007011409134425928,0.0047534389328122515,-0.002257970201613677
2023,BKN,Eastern,6,1.030067228496879,45,37,1.0,1.0,0.010832392776536703,0.01085556478132613,2.3172004789427658e-05
2023,BOS,Eastern,2,6.379086304940661,57,25,1.0,1.0,0.26715807406329123,0.26478685681504216,-0.002371217248249069
2023,CHA,Eastern,14,-5.889517205123449,27,55,0.0,0.0,0.0,0.0,0.0
2023,CHI,Eastern,10,1.366403620432673,40,42,0.0,0.2149197047470266,0.0,0.0029621796880029486,0.0029621796880029486
2023,CLE,Eastern,4,5.231435592060569,51,31,1.0,1.0,0.1343113698261031,0.13389797973547485,-0.0004133900906282406
2023,DAL,Western,11,-0.14263553558529543,38,44,0.0,0.0,0.0,0.0,0.0
2023,DEN,Western,1,3.0429463485979085,53,29,1.0,1.0,0.09116366815931158,0.0850505799066871,-0.0061130882526244795
2023,DET,Eastern,15,-7.728442125969018,17,65,0.0,0.0,0.0,0.0,0.0
2023,GS,Western,6,1.6555515888374637,44,38,1.0,1.0,0.028648195154930337,0.028728592283543967,8.039712861362958e-05
2023,HOU,Western,14,-7.617232355083263,22,60,0.0,0.0,0.0,0.0,0.0
2023,IND,Eastern,11,-2.905014167569038,35,47,0.0,0.0,0.0,0.0,0.0
2023,LAC,Western,5,0.306827752318091,44,38,1.0,1.0,0.013838565051336398,0.013544105138835853,-0.00029445991250054426
2023,LAL,Western,7,0.4268319326799518,43,39,1.0,0.7944758455229326,0.012222261591429195,0.009971034378661692,-0.002251227212767503
2023,MEM,Western,2,3.600245377928773,51,31,1.0,1.0,0.10597608759494935,0.10810589860706879,0.0021298110121194397
2023,MIA,Eastern,7,-0.13342397934373934,44,38,1.0,0.771799278251235,0.0045298325032520174,0.0036732884105062247,-0.0008565440927457927
2023,MIL,Eastern,1,3.610220255647974,58,24,1.0,1.0,0.08275864173923825,0.0799176370482507,-0.002841004690987553
2023,MIN,Western,8,-0.21844667381488192,42,40,1.0,0.7210843398007974,0.008854090675266645,0.006046592267173722,-0.0028074984080929226
2023,NO,Western,9,1.6287231320004478,42,40,0.0,0.279345399650202,0.0,0.007544309183652662,0.007544309183652662
2023,NY,Eastern,5,2.9868400519362956,47,35,1.0,1.0,0.03625186141435913,0.03603692504047481,-0.00021493637388431824
2023,OKC,Western,10,0.9612207738266554,40,42,0.0,0.2050944150260681,0.0,0.0037813376046249647,0.0037813376046249647
2023,ORL,Eastern,13,-2.3886844708121764,34,48,0.0,0.0,0.0,0.0,0.0
2023,PHI,Eastern,3,4.373100167267929,54,28,1.0,1.0,0.10100380955593331,0.10125300327109027,0.0002491937151569562
2023,PHX,Western,4,2.0797599419797184,45,37,1.0,1.0,0.047847171755736405,0.0470999342869808,-0.0007472374687556016
